"base","STATE","REGION","lat","long","population","less_than_high_school","high_school_grad","some_bachelors_or_associate","with_children_under_18","income_below_poverty","drove_alone","carpooled","public_transportation","walked","taxi_motorcycle_bike_other","worked_from_home","now_married","separated","widowed","divorced","female","black_or_african_american_alone","american_indian_and_alaskan_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","two_or_more_races","hispanic_or_latino","living_with_supplementary_security_income_cash_public_assistance_income_foodstamps","veteran","unemployment_rate","armed_forces","mu_days","smoke","obese","food_env_index","phys_inactive","exer_acc","excess_drink","alc_drive_deaths_rate","clap_rate","teen_birth","mental_rate","child_pov","social","violence","house_problem","long_drive_alone","land_acres","h_80ami","t_80ami","co2_per_acre_local","autos_per_hh_80ami","vmt_per_hh_80ami","pct_transit_commuters_80ami","transit_trips_80ami","emp_ovrll_ndx","gross_hh_density","frac_sfd","intersection_density","median_smoc","pct_renter_occupied_hu","pupil_teacher_ratio","pct_65_older","annual_drug_spending_hh_avg"
"Aberdeen Proving Ground","MD","South",39.4078125010461,-76.2072586553626,90027,0.0723680042579004,0.302693944327966,0.326315167264045,0.432181771202984,0.0927869647133212,0.81448038932504,0.0914182338294468,0.0243108231000266,0.0228434407280723,0.0137295804426962,0.0332175325747175,0.509218296455643,0.0229580047518451,0.0585130387307789,0.110166026008622,0.483329888107217,0.198473933321378,0.00185780146014474,0.0290527755707719,0.000241111707350391,0.0135116064346366,0.0270103802916088,0.0483294170009367,0.281025800116231,0.126783184409132,0.0538713075651201,0.00940012418253904,3.66277337012497,13.9028201479476,29.4528245689876,8.44776177636448,23.682352397037,94.3046790946446,16.7915556042412,25.6778861456271,396.608539833383,15.9671822735183,225.678188264319,11.2706995845576,8.26520095219535,445.60583612116,15.4800112870399,46.8581369384749,355665.637023743,34.7023147910698,19.8300441087038,22.1830519083242,2,17618.4174179922,5.50413519097896,97.3895780365033,7.41657117107876,0.694036239476557,51.5299519713367,70.8207680922619,1691.47963269613,30.9262241630703,15.3559791106454,0.162832573400327,409.179756929994
"Aliamanu Military Reservation","HI","West",21.3602125722525,-157.912393946523,56231,0.106142287116253,0.267163408549263,0.374947345182517,0.478264906408209,0.090601612217238,0.606593975407328,0.13773479130124,0.132666185272985,0.0316820485146645,0.0689238191647555,0.0223991803390271,0.544898856426006,0.0132402338962975,0.0601767661529441,0.0697411479428082,0.500843658700701,0.0417083131041384,0.00118809788606516,0.476789619083312,0.0970597745559719,0.00773766791752694,0.168733948805931,0.0891833838046833,0.24591679656027,0.129053403098858,0.0280684587623451,0.0816095316019925,2.9203392921,11.177348228,22.2,8.1,20.2,96.875495039,18.885339666,26.394052045,553.9,23.497911647,228.18745,9.5,6.3481637386,239.37491994,27.336041788,44.3,384373.36,41,20,67.78,2,18399,8,213,5.9,0.81,47,36,1932,46,16.14,0.174598,382.9087
"Allen Stagefield","AL","South",31.2304301593244,-85.650677929243,2954,0.107278481012658,0.362025316455696,0.367721518987342,0.36682725395733,0.117301231802912,0.906733746130031,0.0646284829721362,0,0.00232198142414861,0.0197368421052632,0.00657894736842105,0.515144958892254,0.0333189095629598,0.0692340977931631,0.138251839030723,0.521815933580639,0.056350468115174,0.00123653064829535,0.00865571453806748,0,0.0125419537184243,0.0289701466172054,0.0745451333686628,0.152753108348135,0.173791348600509,0.0646906101254868,0.00216356555603635,4.4415549183,18.612184668,36.5,6.7,28.8,60.303277547,14.394508845,40.425531915,571.9,36.488579172,79.22643,29.7,11.70180571,362.59707652,13.610683102,25.9,359135.52,29,32,1.97,2,20991,1,11,2.6,0.05,66,12,815,38,17.81,0.156309,394.3371
"Anniston Army Depot","AL","South",33.6530245804201,-85.9691063755587,23438,0.186283827812711,0.345898469780308,0.330970244997305,0.36805945331505,0.182167679802811,0.851836450613684,0.111948506129129,0.00278351014864702,0.00692390917654089,0.0110315376961943,0.0154760862358049,0.477768889504271,0.0351116039318787,0.0820738604762002,0.146792388603584,0.481882672745328,0.262224995224339,0.00224832396266006,0.00781832903279316,0.000137299343020975,0.0128564162121519,0.021978053826978,0.0389879388772609,0.401246441544944,0.114794310742339,0.0812113086534988,0.00112930245110693,4.4765721664,20.462231748,36.1,6.8,32.5,48.217117026,15.431677015,22.857142857,587.5,39.711727776,94.23179,25.7,14.01141671,574.32355552,15.292171996,29.4,387768.64,33,34,4.09,2,20177,0,15,2.6,0.12,72,23,937,31,16.71,0.166662,399.6984
"Arlington National Cemetery","VA","South",38.8800000001,-77.0700000001998,868,0.0260223048327138,0.197026022304833,0.468401486988848,0.363636363636364,0.144927536231884,0.316508937960042,0.0977917981072555,0.0694006309148265,0.361724500525762,0.0231335436382755,0.131440588853838,0.0784708249496982,0.0231388329979879,0,0.0321931589537223,0.850980392156863,0.133333333333333,0.00686274509803922,0.0235294117647059,0.0235294117647059,0,0.0107843137254902,0.0490196078431373,0,0.103448275862069,0.0140845070422535,0.916498993963783,3.1330682649,12.338541629,18.3,9.3,15.3,99.989404076,26.10609086,20,355.2,12.682637395,139.96957,8.4,13.571067009,146.47378476,15.156079572,44.1,16634.73,37,12,69.73,1,11415,25,31,9.8,5.92,28,228,2297,56,14.1,0.104647,402.7902
"Blossom Point Research Facility","MD","South",38.4217807236016,-77.0931910938938,696,0.0985507246376812,0.347826086956522,0.278260869565217,0.239904988123515,0.0240963855421687,0.780337941628264,0.0768049155145929,0.0906298003072197,0,0,0.0522273425499232,0.640174672489083,0.0410480349344978,0.0165938864628821,0.0576419213973799,0.535796766743649,0.155504234026174,0.0662047729022325,0,0,0,0.0454195535026944,0.0107775211701309,0.256830601092896,0.176409185803758,0.0192139737991266,0,3.4577998143,14.468846303,35,8.2,21.7,78.904954589,16.380548495,38.554216867,466.6,17.895600451,126.81906,10.1,5.8929783881,373.73980362,14.578151904,64.4,292981.15,33,19,10.83,2,21690,1,4,6.3,0.18,71,43,2108,22,14.73,0.111755,359.7168
"Blue Grass Army Depot","KY","South",37.6989824524783,-84.217617406618,39915,0.103766459065747,0.292168827081774,0.305902966914087,0.428248233243809,0.223720681874606,0.794761666260973,0.0944129021290128,0.00296071547180818,0.0523178376233848,0.0292774563170084,0.0262694221978122,0.457289497018781,0.0156694680466506,0.0654675657199522,0.128724274500388,0.482865155574278,0.0435679646000256,0.00443147641949193,0.00924777856143924,0.000676027156186129,0.00413184880191934,0.018769666525287,0.0213614934464692,0.295527114495875,0.108082049664226,0.0521065799021518,0.000887223756460156,4.39461441783033,19.9599907656667,34.4367498589686,7.11464781060945,26.632090960375,67.4894836960917,15.9991563656165,26.366447076292,359.315762444803,26.2118357272329,100.783226691112,23.3981364405626,9.51580421441026,151.214474566496,16.8313139719052,36.6617970315327,257974.637074328,35.5046588985936,35.1651137004688,6.51411091874647,2,20605.0727138327,0,0.330227400937615,1.68442040967183,0.0984420409671835,64.8069329079697,12.3395451981248,1066.97204660844,38.0279533915615,16.2905590678312,0.139798495827417,429.880717271967
"Brown Stagefield","AL","South",31.3858772285513,-85.9719052726102,3963,0.190855803048066,0.33810082063306,0.325908558030481,0.323514474352463,0.201555411535969,0.775418275418275,0.156048906048906,0.0028957528957529,0.0202702702702703,0.0231660231660232,0.0222007722007722,0.483537575668094,0.0336630739701757,0.0868152960283479,0.121659530488705,0.484296712697055,0.221801295368447,0.00794329707931077,0.0125870707564463,0,0.00635463766344861,0.0389832579738482,0.0237076866674814,0.484793187347932,0.126655052264808,0.0428170677690831,0.000295290122545401,4.606066663,18.201220902,34.2,7.5,29.8,44.630415632,15.528419697,31.914893617,467.5,30.630003481,54.65974,21.3,16.012184882,321.1579928,14.016243123,23.3,434550.61,33,32,3.83,2,21601,0,7,1.6,0.04,72,7,1131,32,19.15,0.168711,403.9892
"Cairns Basefield","AL","South",31.2771894567281,-85.7137435235447,4173,0.112093743090869,0.300022109219545,0.4348883484413,0.367048054919908,0.201728540561776,0.877741228070175,0.0644188596491228,0,0.00411184210526316,0.0271381578947368,0.0265899122807018,0.533163265306122,0.0259603841536615,0.056422569027611,0.12875150060024,0.489846226082874,0.192863012090621,0.0117384669562155,0.0254724732949877,0.00117384669562155,0.0259420119732363,0.0315764761122197,0.0753609578589036,0.261165048543689,0.295024136650576,0.0619747899159664,0.0424669867947179,4.606066663,18.201220902,34.2,7.5,29.8,44.630415632,15.528419697,31.914893617,467.5,30.630003481,54.65974,21.3,16.012184882,321.1579928,14.016243123,23.3,434550.61,33,32,3.83,2,21601,0,7,1.6,0.04,72,7,1131,32,19.15,0.168711,403.9892
"Camp Mackall","NC","South",35.0301561274034,-79.4815554545206,11526,0.157220270274991,0.284865825964081,0.357068136834752,0.427199020819027,0.221326865663219,0.852575522544706,0.0602285879365525,0.00261369981769941,0.0284160198608022,0.0138932449796839,0.0422729248605558,0.439590302597214,0.0308868711554814,0.0614477214112019,0.13731495219952,0.513872141697725,0.280533317874535,0.0339309521723502,0.0201680759704755,0,0.0101527513226565,0.0366840815922367,0.0924038106991148,0.454947392541083,0.109378875866695,0.0577821192748847,0.0209118081512772,4.30197234989571,20.1390886370382,31.3702201106781,6.8545694763252,25.4395260591825,62.0047938882607,15.4450657018427,35.5028980227942,674.67803030303,40.0680982415362,164.896447678695,26.5336433922312,12.0218764517807,291.432081955413,16.7971715836374,32.2623649887009,333835.98664954,36.3910968166693,35.672000391466,3.03154686916137,2,20362.1294017687,0.159842701827435,3.73495524831403,1.97202886172352,0.0704343938504244,69.4910585597608,9.52296749052474,1078.15758287514,31.4209816900657,15.5071001708215,0.185638535298671,387.101520272158
